IPDT_ACC_cleaned,NSQ1,NSQ4,NSQ6,NSQ7,NSQ8,NSQ10,NSQ11,NSQ16,NSQ18,NSQ19,NSQ20,NSQ21,NSQ22,NSQ23,NSQ26,NSQ27,NSQ32,NSQ33,NSQ35,NSQ36,NSQ39,NSQ40,NSQ42,NSQ45,NSQ47,NSQ50,NSQ51,NSQ52,NSQ53,NSQ54,NSQ55,NSQ57,NSQ58,NSQ59,NSQ60,NSQ61,NSQ62,NSQ64,NSQ66,NSQ68,NSQ70,NSQ71,NSQ72,NSQ73
12,2,2,2,2,5,2,4,2,2,5,2,4,2,2,4,2,2,4,4,3,5,2,4,2,4,2,4,4,4,4,2,2,4,4,4,4,3,3,3,3,4,5,4,4
19,4,2,2,4,3,3,4,4,2,5,4,2,2,3,3,4,2,3,4,4,4,4,2,2,4,4,4,5,5,5,3,3,2,4,1,4,2,2,5,3,3,4,4,2
7,2,2,2,2,4,3,4,2,4,4,2,3,4,3,3,2,2,3,4,3,3,2,3,3,3,3,4,3,4,4,2,4,2,4,3,3,3,2,4,2,4,4,3,4
18,4,4,3,4,4,4,4,2,2,5,3,5,3,4,3,4,2,4,5,2,4,5,3,3,2,3,2,4,2,5,5,4,4,3,4,2,4,3,4,4,4,4,5,4
19,4,4,3,4,2,5,4,5,3,1,4,2,4,4,5,4,2,4,2,2,4,2,4,3,2,4,4,3,5,3,3,4,3,3,3,2,3,3,4,4,4,4,4,4
11,5,4,3,5,5,5,4,2,5,5,5,5,4,4,5,4,1,5,5,5,5,4,5,4,4,4,4,4,4,5,3,3,4,3,3,3,3,3,3,3,4,3,3,2
18,5,5,4,5,2,4,5,4,4,4,4,4,4,4,4,2,4,4,4,5,4,4,2,2,4,4,4,5,5,5,4,5,5,5,3,4,4,2,4,4,4,5,3,2
10,4,3,3,4,4,3,4,3,3,5,3,4,4,4,4,4,3,4,4,4,3,5,3,4,4,3,3,5,4,5,3,4,3,5,4,5,4,3,4,4,3,5,4,4
21,2,3,3,4,2,2,3,4,4,4,3,3,3,4,4,3,2,3,4,4,3,2,2,2,3,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,5,4,5
26,5,5,4,5,1,5,5,5,5,1,5,1,5,5,1,2,5,1,4,5,1,5,1,1,1,5,5,5,5,1,5,5,5,4,5,1,5,5,5,5,5,5,5,5
3,4,3,4,3,4,4,3,3,4,4,2,3,4,3,3,3,2,2,4,3,4,4,3,2,3,4,4,4,4,4,4,3,4,4,2,4,4,2,4,3,4,4,4,3
7,3,3,2,3,2,3,3,4,4,5,3,5,4,3,3,4,3,2,4,3,4,3,3,2,3,4,4,5,5,4,4,4,4,4,3,3,4,3,4,3,5,4,5,3
13,3,3,2,3,5,3,3,2,4,4,3,4,4,3,4,4,4,5,4,4,5,4,4,5,5,4,4,5,5,5,3,3,4,4,3,5,5,4,5,3,3,5,5,2
17,4,5,5,4,4,4,4,5,5,5,5,3,4,5,1,4,5,1,3,5,5,4,1,1,1,5,5,4,5,1,4,5,5,5,3,3,3,5,5,4,5,5,3,5
16,2,2,2,4,4,3,4,2,2,4,3,4,2,2,4,3,2,4,4,2,4,2,4,2,4,2,2,4,4,4,2,3,2,4,2,4,4,2,2,2,2,4,4,2
10,4,4,1,4,5,5,3,2,2,4,2,5,4,4,4,4,4,2,5,3,5,4,5,5,5,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,5,5,5,2
16,5,4,4,4,2,4,4,5,2,5,4,3,2,4,2,2,4,2,5,4,3,4,2,2,2,4,4,5,5,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4
15,4,4,4,4,4,5,4,2,5,4,4,3,4,5,5,4,4,4,5,4,5,4,2,3,2,5,5,4,5,4,5,5,4,4,3,4,4,2,3,4,4,5,5,2
10,2,1,2,2,5,1,4,1,1,5,1,5,1,3,2,3,1,1,5,2,5,1,4,4,2,2,3,2,2,4,2,1,3,4,3,2,2,2,3,2,2,3,2,4
11,3,5,5,4,2,5,4,5,5,4,4,2,5,5,1,3,2,1,1,4,2,3,1,1,1,5,5,5,5,5,5,3,5,5,2,1,3,5,4,4,5,5,5,5
16,4,4,3,4,3,4,3,3,4,4,3,3,4,3,3,4,4,3,4,4,4,4,3,2,3,4,4,4,4,4,4,3,4,4,3,3,4,4,4,3,4,4,3,4
20,5,4,5,5,3,5,4,3,3,4,5,2,4,5,3,1,5,2,4,5,4,5,3,3,2,5,5,4,2,3,3,5,3,4,4,3,4,4,3,4,5,5,5,4
18,4,3,2,3,5,4,4,3,2,4,3,4,3,3,2,2,4,3,2,5,4,4,4,4,4,3,4,5,4,3,4,3,3,4,4,4,3,3,4,4,3,4,3,3
14,2,4,4,4,4,2,5,2,5,4,3,4,5,3,3,3,2,4,3,4,4,2,4,3,4,2,4,4,4,5,4,3,4,4,2,4,4,2,3,2,5,5,4,4
19,4,4,4,2,4,3,4,2,2,5,4,4,4,3,4,4,4,2,3,4,4,4,4,4,4,2,4,4,5,5,2,3,4,4,3,5,4,4,2,4,4,4,4,2
19,3,4,4,4,4,4,4,4,3,4,3,4,3,4,2,2,3,4,4,4,4,4,3,3,4,2,3,4,4,4,4,3,3,4,3,4,4,3,3,2,2,4,4,4
21,2,5,2,3,4,2,3,4,3,4,3,2,3,3,1,2,3,3,4,4,4,4,3,2,4,3,4,4,4,4,5,4,4,3,4,4,3,3,3,3,3,4,4,3
21,5,4,5,4,3,4,4,5,4,3,3,4,4,4,3,4,4,2,2,4,3,4,4,2,3,4,4,4,5,3,4,4,4,4,3,2,3,3,4,3,3,5,4,4
23,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,2,4,2,4,4,4,4,2,2,3,4,4,4,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4
15,4,2,4,3,4,2,3,2,3,4,3,2,4,2,4,2,2,4,3,4,4,4,4,4,3,3,4,4,2,4,2,4,4,4,2,4,4,2,4,2,4,2,2,2
18,4,4,3,3,2,4,4,4,3,3,4,3,3,3,1,5,4,2,4,4,3,4,2,2,2,4,4,5,4,3,3,5,3,2,4,3,4,4,4,5,4,4,5,4
23,2,3,2,3,5,3,4,4,2,4,3,4,4,4,3,2,3,3,4,4,4,2,4,3,4,4,4,4,3,4,3,3,2,4,4,4,4,3,3,2,2,4,3,2
